config_hash,top_k,question_id,grader_id,grade,facts_present,notes
a9e9b27f,3,Q10,eze,5,F1;F2;F3;F4;F5;F6;F7,
a9e9b27f,3,Q11,eze,0,,refusal_auto
a9e9b27f,3,Q12,eze,1,,
a9e9b27f,3,Q13,eze,0,,refusal_auto
aadb0cb9,1,Q01,eze,5,F1;F2;F3;F4,
aadb0cb9,1,Q02,eze,2,F2;F3,
aadb0cb9,1,Q03,eze,0,,refusal_auto
aadb0cb9,1,Q04,eze,0,,refusal_auto
aadb0cb9,1,Q05,eze,3,F1;F2,
aadb0cb9,1,Q06,eze,1,,
aadb0cb9,1,Q07,eze,0,,refusal_auto
aadb0cb9,1,Q08,eze,2,F1;F2,
aadb0cb9,1,Q09,eze,0,,refusal_auto
aadb0cb9,1,Q10,eze,1,F1,
aadb0cb9,1,Q11,eze,0,,refusal_auto
aadb0cb9,1,Q12,eze,3,F2;F3;F4;F5,
aadb0cb9,1,Q13,eze,0,,refusal_auto
aadb0cb9,3,Q01,eze,5,F1;F2;F3;F4,
aadb0cb9,3,Q02,eze,2,F2;F3,
aadb0cb9,3,Q03,eze,3,F3;F4;F5;F6,
aadb0cb9,3,Q04,eze,3,F1;F3,
aadb0cb9,3,Q05,eze,3,F1;F2,
aadb0cb9,3,Q06,eze,1,F4,
aadb0cb9,3,Q07,eze,1,,
aadb0cb9,3,Q08,eze,2,F2;F4,
aadb0cb9,3,Q09,eze,1,,
aadb0cb9,3,Q10,eze,3,F1;F2;F3;F4;F5,
aadb0cb9,3,Q11,eze,0,,refusal_auto
aadb0cb9,3,Q12,eze,3,F2;F3;F4;F5,
aadb0cb9,3,Q13,eze,0,,refusal_auto
aadb0cb9,5,Q01,eze,5,F1;F2;F3;F4,
aadb0cb9,5,Q02,eze,3,F2;F3;F4;F5;F6,
aadb0cb9,5,Q03,eze,3,F3;F4;F5;F6,
aadb0cb9,5,Q04,eze,4,F1;F2;F3,
aadb0cb9,5,Q05,eze,4,F1;F2;F3,
aadb0cb9,5,Q06,eze,2,F2;F4,
aadb0cb9,5,Q07,eze,1,,
aadb0cb9,5,Q08,eze,1,F2,
aadb0cb9,5,Q09,eze,1,,
aadb0cb9,5,Q10,eze,5,F1;F2;F3;F4;F5;F6;F7,
aadb0cb9,5,Q11,eze,0,,refusal_auto
aadb0cb9,5,Q12,eze,3,F2;F3;F4;F5,
aadb0cb9,5,Q13,eze,0,,refusal_auto
b1843394,3,Q01,eze,2,F2,
b1843394,3,Q02,eze,2,F2;F3,
b1843394,3,Q03,eze,3,F3;F4;F5;F6,
b1843394,3,Q04,eze,2,F3,
b1843394,3,Q05,eze,4,F1;F2;F3,
b1843394,3,Q06,eze,1,,
b1843394,3,Q07,eze,1,,
b1843394,3,Q08,eze,2,F2;F3,
b1843394,3,Q09,eze,2,F5;F6,
b1843394,3,Q10,eze,2,F1;F2;F3,
b1843394,3,Q11,eze,0,,refusal_auto
b1843394,3,Q12,eze,1,F4,
b1843394,3,Q13,eze,0,,refusal_auto
b2ee97fc,3,Q01,eze,0,,refusal_auto
b2ee97fc,3,Q02,eze,2,F2;F3,
b2ee97fc,3,Q03,eze,0,,refusal_auto
b2ee97fc,3,Q04,eze,3,F1;F3,
b2ee97fc,3,Q05,eze,3,F1;F2,
b2ee97fc,3,Q06,eze,2,F1;F4,
b2ee97fc,3,Q07,eze,0,,refusal_auto
b2ee97fc,3,Q08,eze,1,F2,
b2ee97fc,3,Q09,eze,0,,refusal_auto
b2ee97fc,3,Q10,eze,2,F1;F2;F3,
b2ee97fc,3,Q11,eze,0,,refusal_auto
b2ee97fc,3,Q12,eze,3,F2;F3;F4;F5,
b2ee97fc,3,Q13,eze,0,,refusal_auto
bc360218,3,Q01,eze,5,F1;F2;F3;F4,
bc360218,3,Q02,eze,0,,refusal_auto
bc360218,3,Q03,eze,4,F2;F3;F4;F5;F6,
bc360218,3,Q04,eze,0,,refusal_auto
bc360218,3,Q05,eze,2,F1,
bc360218,3,Q06,eze,1,F1,
bc360218,3,Q07,eze,1,,
bc360218,3,Q08,eze,2,F2;F3,
bc360218,3,Q09,eze,0,,refusal_auto
bc360218,3,Q10,eze,5,F1;F2;F3;F4;F5;F6;F7,
bc360218,3,Q11,eze,0,,refusal_auto
bc360218,3,Q12,eze,3,F2;F3;F4;F5,
bc360218,3,Q13,eze,1,F6,
d7129fb0,3,Q01,eze,5,F1;F2;F3;F4,
d7129fb0,3,Q02,eze,2,F2;F3,
d7129fb0,3,Q03,eze,3,F2;F3;F5;F6,
d7129fb0,3,Q04,eze,3,F1;F3,
d7129fb0,3,Q05,eze,3,F1;F2,
d7129fb0,3,Q06,eze,1,,
d7129fb0,3,Q07,eze,1,,
d7129fb0,3,Q08,eze,0,,refusal_auto
d7129fb0,3,Q09,eze,1,,
d7129fb0,3,Q10,eze,3,F1;F2;F4;F5;F7,
d7129fb0,3,Q11,eze,0,,refusal_auto
d7129fb0,3,Q12,eze,0,,refusal_auto
d7129fb0,3,Q13,eze,0,,refusal_auto
1fbb3d49,3,Q01,tolga,3,F1;F3,
1fbb3d49,3,Q02,tolga,1,F3,
1fbb3d49,3,Q03,tolga,3,F3;F4;F5;F6,
1fbb3d49,3,Q04,tolga,1,,
1fbb3d49,3,Q05,tolga,0,,refusal_auto
1fbb3d49,3,Q06,tolga,2,F1;F2,
1fbb3d49,3,Q07,tolga,1,F1,
1fbb3d49,3,Q08,tolga,0,,refusal_auto
1fbb3d49,3,Q09,tolga,2,F4;F5;F6,
1fbb3d49,3,Q10,tolga,5,F1;F2;F3;F4;F5;F6;F7,
1fbb3d49,3,Q11,tolga,0,,refusal_auto
1fbb3d49,3,Q12,tolga,4,F1;F2;F3;F4;F5,
1fbb3d49,3,Q13,tolga,1,,
6e091273,3,Q01,tolga,0,,refusal_auto
6e091273,3,Q02,tolga,2,F3;F5,
6e091273,3,Q03,tolga,2,F5;F6,
6e091273,3,Q04,tolga,0,,refusal_auto
6e091273,3,Q05,tolga,4,F1;F2;F3,
6e091273,3,Q06,tolga,2,F1;F2,
6e091273,3,Q07,tolga,0,,refusal_auto
6e091273,3,Q08,tolga,3,F1;F2;F3,
6e091273,3,Q09,tolga,0,,refusal_auto
6e091273,3,Q10,tolga,4,F1;F2;F3;F4;F5;F7,
6e091273,3,Q11,tolga,0,,refusal_auto
6e091273,3,Q12,tolga,2,F4;F6,
6e091273,3,Q13,tolga,0,,refusal_auto
6fb92835,3,Q01,tolga,1,,
6fb92835,3,Q02,tolga,1,F3,
6fb92835,3,Q03,tolga,3,F3;F5;F6,
6fb92835,3,Q04,tolga,3,F1;F3,
6fb92835,3,Q05,tolga,3,F1;F2,
6fb92835,3,Q06,tolga,1,F2,
6fb92835,3,Q07,tolga,0,,refusal_auto
6fb92835,3,Q08,tolga,3,F1;F2;F4,
6fb92835,3,Q09,tolga,1,F4,
6fb92835,3,Q10,tolga,2,F1;F2;F3,
6fb92835,3,Q11,tolga,0,,refusal_auto
6fb92835,3,Q12,tolga,0,,refusal_auto
6fb92835,3,Q13,tolga,0,,refusal_auto
7dffb047,3,Q01,tolga,3,F2;F3,
7dffb047,3,Q02,tolga,2,F2;F3,
7dffb047,3,Q03,tolga,3,F3;F4;F5;F6,
7dffb047,3,Q04,tolga,1,,
7dffb047,3,Q05,tolga,3,F1;F2,
7dffb047,3,Q06,tolga,1,F5,
7dffb047,3,Q07,tolga,0,,refusal_auto
7dffb047,3,Q08,tolga,0,,refusal_auto
7dffb047,3,Q09,tolga,2,F5;F6,
7dffb047,3,Q10,tolga,5,F1;F2;F3;F4;F5;F6;F7,
7dffb047,3,Q11,tolga,0,,refusal_auto
7dffb047,3,Q12,tolga,0,,refusal_auto
7dffb047,3,Q13,tolga,0,,refusal_auto
a9e9b27f,3,Q01,tolga,5,F1;F2;F3;F4,
a9e9b27f,3,Q02,tolga,2,F2;F3,
a9e9b27f,3,Q03,tolga,2,F5;F6,
a9e9b27f,3,Q04,tolga,3,F1;F3,
a9e9b27f,3,Q05,tolga,3,F1;F2,
a9e9b27f,3,Q06,tolga,2,F1;F2,
a9e9b27f,3,Q07,tolga,0,,refusal_auto
a9e9b27f,3,Q08,tolga,5,F1;F2;F3;F4;F5,
a9e9b27f,3,Q09,tolga,1,F4,
a9e9b27f,3,Q10,tolga,5,F1;F2;F3;F4;F5;F6;F7,
a9e9b27f,3,Q11,tolga,0,,refusal_auto
a9e9b27f,3,Q12,tolga,1,,
a9e9b27f,3,Q13,tolga,0,,refusal_auto
aadb0cb9,1,Q01,tolga,5,F1;F2;F3;F4,
aadb0cb9,1,Q02,tolga,2,F2;F3,
aadb0cb9,1,Q03,tolga,0,,refusal_auto
aadb0cb9,1,Q04,tolga,0,,refusal_auto
aadb0cb9,1,Q05,tolga,3,F1;F2,
aadb0cb9,1,Q06,tolga,2,F1;F2,
aadb0cb9,1,Q07,tolga,0,,refusal_auto
aadb0cb9,1,Q08,tolga,2,F1;F2,
aadb0cb9,1,Q09,tolga,0,,refusal_auto
aadb0cb9,1,Q10,tolga,1,F1,
aadb0cb9,1,Q11,tolga,0,,refusal_auto
aadb0cb9,1,Q12,tolga,4,F1;F2;F3;F4;F5,
aadb0cb9,1,Q13,tolga,0,,refusal_auto
aadb0cb9,3,Q01,tolga,5,F1;F2;F3;F4,
aadb0cb9,3,Q02,tolga,2,F2;F3,
aadb0cb9,3,Q03,tolga,3,F3;F4;F5;F6,
aadb0cb9,3,Q04,tolga,3,F1;F3,
aadb0cb9,3,Q05,tolga,3,F1;F2,
aadb0cb9,3,Q06,tolga,1,F4,
aadb0cb9,3,Q07,tolga,1,,
aadb0cb9,3,Q08,tolga,4,F1;F2;F3;F4,
aadb0cb9,3,Q09,tolga,1,,
aadb0cb9,3,Q10,tolga,3,F1;F2;F3;F4;F5,
aadb0cb9,3,Q11,tolga,0,,refusal_auto
aadb0cb9,3,Q12,tolga,4,F1;F2;F3;F4;F5,
aadb0cb9,3,Q13,tolga,0,,refusal_auto
aadb0cb9,5,Q01,tolga,5,F1;F2;F3;F4,
aadb0cb9,5,Q02,tolga,3,F2;F3;F4;F5;F6,
aadb0cb9,5,Q03,tolga,3,F3;F4;F5;F6,
aadb0cb9,5,Q04,tolga,4,F1;F2;F3,
aadb0cb9,5,Q05,tolga,4,F1;F2;F3,
aadb0cb9,5,Q06,tolga,2,F2;F4,
aadb0cb9,5,Q07,tolga,1,,
aadb0cb9,5,Q08,tolga,3,F1;F2;F4,
aadb0cb9,5,Q09,tolga,1,,
aadb0cb9,5,Q10,tolga,5,F1;F2;F3;F4;F5;F6;F7,
aadb0cb9,5,Q11,tolga,0,,refusal_auto
aadb0cb9,5,Q12,tolga,4,F1;F2;F3;F4;F5,
aadb0cb9,5,Q13,tolga,0,,refusal_auto
b1843394,3,Q01,tolga,2,F2,
b1843394,3,Q02,tolga,2,F2;F3,
b1843394,3,Q03,tolga,3,F3;F4;F5;F6,
b1843394,3,Q04,tolga,2,F3,
b1843394,3,Q05,tolga,4,F1;F2;F3,
b1843394,3,Q06,tolga,3,F1;F2;F5,
b1843394,3,Q07,tolga,1,,
b1843394,3,Q08,tolga,4,F1;F2;F3;F4,
b1843394,3,Q09,tolga,2,F5;F6,
b1843394,3,Q10,tolga,2,F1;F2;F3,
b1843394,3,Q11,tolga,0,,refusal_auto
b1843394,3,Q12,tolga,2,F4;F5,
b1843394,3,Q13,tolga,0,,refusal_auto
b2ee97fc,3,Q01,tolga,0,,refusal_auto
b2ee97fc,3,Q02,tolga,2,F2;F3,
b2ee97fc,3,Q03,tolga,0,,refusal_auto
b2ee97fc,3,Q04,tolga,3,F1;F3,
b2ee97fc,3,Q05,tolga,3,F1;F2,
b2ee97fc,3,Q06,tolga,3,F1;F2;F4,
b2ee97fc,3,Q07,tolga,0,,refusal_auto
b2ee97fc,3,Q08,tolga,2,F1;F2,
b2ee97fc,3,Q09,tolga,0,,refusal_auto
b2ee97fc,3,Q10,tolga,2,F1;F2;F3,
b2ee97fc,3,Q11,tolga,0,,refusal_auto
b2ee97fc,3,Q12,tolga,4,F1;F2;F3;F4;F5,
b2ee97fc,3,Q13,tolga,0,,refusal_auto
bc360218,3,Q01,tolga,5,F1;F2;F3;F4,
bc360218,3,Q02,tolga,0,,refusal_auto
bc360218,3,Q03,tolga,4,F2;F3;F4;F5;F6,
bc360218,3,Q04,tolga,0,,refusal_auto
bc360218,3,Q05,tolga,2,F1,
bc360218,3,Q06,tolga,2,F1;F2,
bc360218,3,Q07,tolga,1,,
bc360218,3,Q08,tolga,3,F1;F2;F3,
bc360218,3,Q09,tolga,0,,refusal_auto
bc360218,3,Q10,tolga,5,F1;F2;F3;F4;F5;F6;F7,
bc360218,3,Q11,tolga,0,,refusal_auto
bc360218,3,Q12,tolga,4,F1;F2;F3;F4;F5,
bc360218,3,Q13,tolga,1,,
d7129fb0,3,Q01,tolga,5,F1;F2;F3;F4,
d7129fb0,3,Q02,tolga,2,F2;F3,
d7129fb0,3,Q03,tolga,3,F2;F3;F5;F6,
d7129fb0,3,Q04,tolga,3,F1;F3,
d7129fb0,3,Q05,tolga,3,F1;F2,
d7129fb0,3,Q06,tolga,1,F2,
d7129fb0,3,Q07,tolga,1,,
d7129fb0,3,Q08,tolga,0,,refusal_auto
d7129fb0,3,Q09,tolga,1,,
d7129fb0,3,Q10,tolga,3,F1;F2;F4;F5;F7,
d7129fb0,3,Q11,tolga,0,,refusal_auto
d7129fb0,3,Q12,tolga,0,,refusal_auto
d7129fb0,3,Q13,tolga,0,,refusal_auto
6e091273,3,Q08,saheed,2,,adjudicated_disagreement
6fb92835,3,Q08,saheed,2,,adjudicated_disagreement
a9e9b27f,3,Q08,saheed,4,,adjudicated_disagreement
aadb0cb9,3,Q08,saheed,3,,adjudicated_disagreement
aadb0cb9,5,Q08,saheed,2,,adjudicated_disagreement
b1843394,3,Q06,saheed,2,,adjudicated_disagreement
b1843394,3,Q08,saheed,3,,adjudicated_disagreement
