config_hash,top_k,question_id,question_type,source_doc,n_gold_chunks,gold_chunk_ids,retrieved_chunk_ids,hit,strict_hit,lenient_hit,notes
6fb92835,3,Q04,numerical,02_IEA,3,02_IEA_0012;02_IEA_0013;02_IEA_0014,02_IEA_0013;02_IEA_0065;02_IEA_0075,True,,,
6fb92835,3,Q05,factoid,02_IEA,3,02_IEA_0023;02_IEA_0024;02_IEA_0025,02_IEA_0025;02_IEA_0024;02_IEA_0026,True,,,
6fb92835,3,Q06,synthesis,02_IEA,5,02_IEA_0013;02_IEA_0014;02_IEA_0015;02_IEA_0016;02_IEA_0017,02_IEA_0278;02_IEA_0059;02_IEA_0131,False,,,
6fb92835,3,Q07,factoid,03_Google,6,03_Google_0001;03_Google_0002;03_Google_0003;03_Google_0017;03_Google_0018;03_Google_0019,03_Google_0184;02_IEA_0454;03_Google_0075,False,,,
6fb92835,3,Q08,factoid,03_Google,6,03_Google_0007;03_Google_0008;03_Google_0009;03_Google_0013;03_Google_0014;03_Google_0015,03_Google_0014;03_Google_0169;03_Google_0003,True,,,
6fb92835,3,Q09,synthesis,03_Google,5,03_Google_0003;03_Google_0004;03_Google_0005;03_Google_0028;03_Google_0029,03_Google_0072;03_Google_0097;03_Google_0052,False,,,
6fb92835,3,Q10,numerical,04_EPRI,4,04_EPRI_0018;04_EPRI_0019;04_EPRI_0020;04_EPRI_0021,04_EPRI_0020;04_EPRI_0003;02_IEA_0050,True,,,
6fb92835,3,Q11,factoid,04_EPRI,3,04_EPRI_0018;04_EPRI_0019;04_EPRI_0020,02_IEA_0288;02_IEA_0067;02_IEA_0270,False,,,
6fb92835,3,Q12,numerical,05_Greenpeace,4,05_Greenpeace_0002;05_Greenpeace_0003;05_Greenpeace_0004;05_Greenpeace_0020,05_Greenpeace_0009;05_Greenpeace_0023;05_Greenpeace_0002,True,,,
6fb92835,3,Q13,multi-doc,01_BLOOM+05_Greenpeace,21,01_BLOOM_0004;01_BLOOM_0005;01_BLOOM_0006;01_BLOOM_0007;01_BLOOM_0008;01_BLOOM_0009;01_BLOOM_0010;01_BLOOM_0011;05_Greenpeace_0006;05_Greenpeace_0007;05_Greenpeace_0008;05_Greenpeace_0014;05_Greenpeace_0015;05_Greenpeace_0016;05_Greenpeace_0017;05_Greenpeace_0018;05_Greenpeace_0019;05_Greenpeace_0020;05_Greenpeace_0021;05_Greenpeace_0022;05_Greenpeace_0023,05_Greenpeace_0026;01_BLOOM_0018;03_Google_0120,False,False,False,Q13 multi-doc: hit=lenient_hit (§11 E.2). strict_hit requires chunks from both source docs.
7dffb047,3,Q01,factoid,01_BLOOM,2,01_BLOOM_0004;01_BLOOM_0005,01_BLOOM_0006;01_BLOOM_0007;01_BLOOM_0003,False,,,
7dffb047,3,Q02,factoid,01_BLOOM,3,01_BLOOM_0005;01_BLOOM_0006;01_BLOOM_0007,01_BLOOM_0006;01_BLOOM_0007;01_BLOOM_0003,True,,,
7dffb047,3,Q03,synthesis,01_BLOOM,3,01_BLOOM_0003;01_BLOOM_0004;01_BLOOM_0005,01_BLOOM_0005;01_BLOOM_0004;01_BLOOM_0003,True,,,
7dffb047,3,Q04,numerical,02_IEA,2,02_IEA_0006;02_IEA_0007,02_IEA_0033;02_IEA_0136;02_IEA_0032,False,,,
7dffb047,3,Q05,factoid,02_IEA,2,02_IEA_0011;02_IEA_0012,02_IEA_0012;02_IEA_0010;02_IEA_0082,True,,,
7dffb047,3,Q06,synthesis,02_IEA,3,02_IEA_0006;02_IEA_0007;02_IEA_0008,02_IEA_0130;02_IEA_0061;02_IEA_0053,False,,,
7dffb047,3,Q07,factoid,03_Google,4,03_Google_0000;03_Google_0001;03_Google_0007;03_Google_0008,03_Google_0086;03_Google_0084;03_Google_0082,False,,,
7dffb047,3,Q08,factoid,03_Google,5,03_Google_0003;03_Google_0004;03_Google_0005;03_Google_0006;03_Google_0007,03_Google_0009;04_EPRI_0011;03_Google_0084,False,,,
7dffb047,3,Q09,synthesis,03_Google,4,03_Google_0001;03_Google_0002;03_Google_0012;03_Google_0013,03_Google_0046;03_Google_0039;03_Google_0002,True,,,
7dffb047,3,Q10,numerical,04_EPRI,2,04_EPRI_0008;04_EPRI_0009,04_EPRI_0009;03_Google_0007;04_EPRI_0021,True,,,
7dffb047,3,Q11,factoid,04_EPRI,2,04_EPRI_0008;04_EPRI_0009,02_IEA_0031;02_IEA_0131;05_Greenpeace_0003,False,,,
7dffb047,3,Q12,numerical,05_Greenpeace,3,05_Greenpeace_0001;05_Greenpeace_0002;05_Greenpeace_0010,05_Greenpeace_0004;05_Greenpeace_0000;03_Google_0005,False,,,
7dffb047,3,Q13,multi-doc,01_BLOOM+05_Greenpeace,12,01_BLOOM_0002;01_BLOOM_0003;01_BLOOM_0004;01_BLOOM_0005;05_Greenpeace_0002;05_Greenpeace_0003;05_Greenpeace_0006;05_Greenpeace_0007;05_Greenpeace_0008;05_Greenpeace_0009;05_Greenpeace_0010;05_Greenpeace_0011,03_Google_0088;03_Google_0035;05_Greenpeace_0000,False,False,False,Q13 multi-doc: hit=lenient_hit (§11 E.2). strict_hit requires chunks from both source docs.
a9e9b27f,3,Q01,factoid,01_BLOOM,3,01_BLOOM_0008;01_BLOOM_0009;01_BLOOM_0010,01_BLOOM_0009;01_BLOOM_0012;01_BLOOM_0015,True,,,
a9e9b27f,3,Q02,factoid,01_BLOOM,4,01_BLOOM_0011;01_BLOOM_0012;01_BLOOM_0013;01_BLOOM_0014,01_BLOOM_0013;01_BLOOM_0015;01_BLOOM_0009,True,,,
a9e9b27f,3,Q03,synthesis,01_BLOOM,4,01_BLOOM_0007;01_BLOOM_0008;01_BLOOM_0009;01_BLOOM_0010,01_BLOOM_0010;01_BLOOM_0009;01_BLOOM_0014,True,,,
a9e9b27f,3,Q04,numerical,02_IEA,3,02_IEA_0012;02_IEA_0013;02_IEA_0014,02_IEA_0013;02_IEA_0064;02_IEA_0079,True,,,
a9e9b27f,3,Q05,factoid,02_IEA,3,02_IEA_0022;02_IEA_0023;02_IEA_0024,02_IEA_0024;02_IEA_0023;02_IEA_0025,True,,,
a9e9b27f,3,Q06,synthesis,02_IEA,5,02_IEA_0013;02_IEA_0014;02_IEA_0015;02_IEA_0016;02_IEA_0017,02_IEA_0260;02_IEA_0267;02_IEA_0055,False,,,
a9e9b27f,3,Q07,factoid,03_Google,6,03_Google_0001;03_Google_0002;03_Google_0003;03_Google_0015;03_Google_0016;03_Google_0017,03_Google_0164;03_Google_0160;03_Google_0173,False,,,
a9e9b27f,3,Q08,factoid,03_Google,7,03_Google_0006;03_Google_0007;03_Google_0008;03_Google_0011;03_Google_0012;03_Google_0013;03_Google_0014,03_Google_0013;03_Google_0007;03_Google_0003,True,,,
a9e9b27f,3,Q09,synthesis,03_Google,4,03_Google_0003;03_Google_0004;03_Google_0025;03_Google_0026,03_Google_0067;03_Google_0172;03_Google_0121,False,,,
a9e9b27f,3,Q10,numerical,04_EPRI,3,04_EPRI_0017;04_EPRI_0018;04_EPRI_0019,04_EPRI_0018;04_EPRI_0019;04_EPRI_0000,True,,,
a9e9b27f,3,Q11,factoid,04_EPRI,2,04_EPRI_0017;04_EPRI_0018,02_IEA_0063;02_IEA_0270;05_Greenpeace_0006,False,,,
a9e9b27f,3,Q12,numerical,05_Greenpeace,4,05_Greenpeace_0002;05_Greenpeace_0003;05_Greenpeace_0004;05_Greenpeace_0019,05_Greenpeace_0006;05_Greenpeace_0003;05_Greenpeace_0000,True,,,
a9e9b27f,3,Q13,multi-doc,01_BLOOM+05_Greenpeace,20,01_BLOOM_0004;01_BLOOM_0005;01_BLOOM_0006;01_BLOOM_0007;01_BLOOM_0008;01_BLOOM_0009;01_BLOOM_0010;05_Greenpeace_0005;05_Greenpeace_0006;05_Greenpeace_0007;05_Greenpeace_0008;05_Greenpeace_0013;05_Greenpeace_0014;05_Greenpeace_0015;05_Greenpeace_0016;05_Greenpeace_0017;05_Greenpeace_0018;05_Greenpeace_0019;05_Greenpeace_0020;05_Greenpeace_0021,03_Google_0159;03_Google_0162;02_IEA_0323,False,False,False,Q13 multi-doc: hit=lenient_hit (§11 E.2). strict_hit requires chunks from both source docs.
aadb0cb9,1,Q01,factoid,01_BLOOM,3,01_BLOOM_0010;01_BLOOM_0011;01_BLOOM_0012,01_BLOOM_0011,True,,,
aadb0cb9,1,Q02,factoid,01_BLOOM,4,01_BLOOM_0014;01_BLOOM_0015;01_BLOOM_0016;01_BLOOM_0017,01_BLOOM_0016,True,,,
aadb0cb9,1,Q03,synthesis,01_BLOOM,5,01_BLOOM_0008;01_BLOOM_0009;01_BLOOM_0010;01_BLOOM_0011;01_BLOOM_0012,01_BLOOM_0008,True,,,
aadb0cb9,1,Q04,numerical,02_IEA,4,02_IEA_0013;02_IEA_0014;02_IEA_0015;02_IEA_0016,02_IEA_0077,False,,,
aadb0cb9,1,Q05,factoid,02_IEA,4,02_IEA_0025;02_IEA_0026;02_IEA_0027;02_IEA_0028,02_IEA_0027,True,,,
aadb0cb9,1,Q06,synthesis,02_IEA,6,02_IEA_0014;02_IEA_0015;02_IEA_0016;02_IEA_0017;02_IEA_0018;02_IEA_0019,02_IEA_0315,False,,,
aadb0cb9,1,Q07,factoid,03_Google,6,03_Google_0001;03_Google_0002;03_Google_0003;03_Google_0018;03_Google_0019;03_Google_0020,02_IEA_0486,False,,,
aadb0cb9,1,Q08,factoid,03_Google,7,03_Google_0007;03_Google_0008;03_Google_0009;03_Google_0013;03_Google_0014;03_Google_0015;03_Google_0016,03_Google_0003,False,,,
aadb0cb9,1,Q09,synthesis,03_Google,5,03_Google_0003;03_Google_0004;03_Google_0005;03_Google_0030;03_Google_0031,03_Google_0079,False,,,
aadb0cb9,1,Q10,numerical,04_EPRI,4,04_EPRI_0020;04_EPRI_0021;04_EPRI_0022;04_EPRI_0023,04_EPRI_0023,True,,,
aadb0cb9,1,Q11,factoid,04_EPRI,3,04_EPRI_0020;04_EPRI_0021;04_EPRI_0022,02_IEA_0318,False,,,
aadb0cb9,1,Q12,numerical,05_Greenpeace,6,05_Greenpeace_0002;05_Greenpeace_0003;05_Greenpeace_0004;05_Greenpeace_0005;05_Greenpeace_0021;05_Greenpeace_0022,05_Greenpeace_0003,True,,,
aadb0cb9,1,Q13,multi-doc,01_BLOOM+05_Greenpeace,24,01_BLOOM_0004;01_BLOOM_0005;01_BLOOM_0006;01_BLOOM_0007;01_BLOOM_0008;01_BLOOM_0009;01_BLOOM_0010;01_BLOOM_0011;01_BLOOM_0012;05_Greenpeace_0006;05_Greenpeace_0007;05_Greenpeace_0008;05_Greenpeace_0009;05_Greenpeace_0010;05_Greenpeace_0015;05_Greenpeace_0016;05_Greenpeace_0017;05_Greenpeace_0018;05_Greenpeace_0019;05_Greenpeace_0020;05_Greenpeace_0021;05_Greenpeace_0022;05_Greenpeace_0023;05_Greenpeace_0024,05_Greenpeace_0028,False,False,False,Q13 multi-doc: hit=lenient_hit (§11 E.2). strict_hit requires chunks from both source docs.
aadb0cb9,3,Q01,factoid,01_BLOOM,3,01_BLOOM_0010;01_BLOOM_0011;01_BLOOM_0012,01_BLOOM_0011;01_BLOOM_0006;01_BLOOM_0017,True,,,
aadb0cb9,3,Q02,factoid,01_BLOOM,4,01_BLOOM_0014;01_BLOOM_0015;01_BLOOM_0016;01_BLOOM_0017,01_BLOOM_0016;01_BLOOM_0006;01_BLOOM_0018,True,,,
aadb0cb9,3,Q03,synthesis,01_BLOOM,5,01_BLOOM_0008;01_BLOOM_0009;01_BLOOM_0010;01_BLOOM_0011;01_BLOOM_0012,01_BLOOM_0008;01_BLOOM_0010;01_BLOOM_0011,True,,,
aadb0cb9,3,Q04,numerical,02_IEA,4,02_IEA_0013;02_IEA_0014;02_IEA_0015;02_IEA_0016,02_IEA_0077;02_IEA_0014;02_IEA_0086,True,,,
aadb0cb9,3,Q05,factoid,02_IEA,4,02_IEA_0025;02_IEA_0026;02_IEA_0027;02_IEA_0028,02_IEA_0027;02_IEA_0028;02_IEA_0029,True,,,
aadb0cb9,3,Q06,synthesis,02_IEA,6,02_IEA_0014;02_IEA_0015;02_IEA_0016;02_IEA_0017;02_IEA_0018;02_IEA_0019,02_IEA_0315;02_IEA_0134;02_IEA_0016,True,,,
aadb0cb9,3,Q07,factoid,03_Google,6,03_Google_0001;03_Google_0002;03_Google_0003;03_Google_0018;03_Google_0019;03_Google_0020,02_IEA_0486;03_Google_0058;03_Google_0082,False,,,
aadb0cb9,3,Q08,factoid,03_Google,7,03_Google_0007;03_Google_0008;03_Google_0009;03_Google_0013;03_Google_0014;03_Google_0015;03_Google_0016,03_Google_0003;03_Google_0015;03_Google_0014,True,,,
aadb0cb9,3,Q09,synthesis,03_Google,5,03_Google_0003;03_Google_0004;03_Google_0005;03_Google_0030;03_Google_0031,03_Google_0079;03_Google_0058;03_Google_0107,False,,,
aadb0cb9,3,Q10,numerical,04_EPRI,4,04_EPRI_0020;04_EPRI_0021;04_EPRI_0022;04_EPRI_0023,04_EPRI_0023;04_EPRI_0022;02_IEA_0076,True,,,
aadb0cb9,3,Q11,factoid,04_EPRI,3,04_EPRI_0020;04_EPRI_0021;04_EPRI_0022,02_IEA_0318;02_IEA_0075;05_Greenpeace_0007,False,,,
aadb0cb9,3,Q12,numerical,05_Greenpeace,6,05_Greenpeace_0002;05_Greenpeace_0003;05_Greenpeace_0004;05_Greenpeace_0005;05_Greenpeace_0021;05_Greenpeace_0022,05_Greenpeace_0003;05_Greenpeace_0010;05_Greenpeace_0005,True,,,
aadb0cb9,3,Q13,multi-doc,01_BLOOM+05_Greenpeace,24,01_BLOOM_0004;01_BLOOM_0005;01_BLOOM_0006;01_BLOOM_0007;01_BLOOM_0008;01_BLOOM_0009;01_BLOOM_0010;01_BLOOM_0011;01_BLOOM_0012;05_Greenpeace_0006;05_Greenpeace_0007;05_Greenpeace_0008;05_Greenpeace_0009;05_Greenpeace_0010;05_Greenpeace_0015;05_Greenpeace_0016;05_Greenpeace_0017;05_Greenpeace_0018;05_Greenpeace_0019;05_Greenpeace_0020;05_Greenpeace_0021;05_Greenpeace_0022;05_Greenpeace_0023;05_Greenpeace_0024,05_Greenpeace_0028;02_IEA_0371;03_Google_0089,False,False,False,Q13 multi-doc: hit=lenient_hit (§11 E.2). strict_hit requires chunks from both source docs.
aadb0cb9,5,Q01,factoid,01_BLOOM,3,01_BLOOM_0010;01_BLOOM_0011;01_BLOOM_0012,01_BLOOM_0011;01_BLOOM_0006;01_BLOOM_0017;01_BLOOM_0015;01_BLOOM_0014,True,,,
aadb0cb9,5,Q02,factoid,01_BLOOM,4,01_BLOOM_0014;01_BLOOM_0015;01_BLOOM_0016;01_BLOOM_0017,01_BLOOM_0016;01_BLOOM_0006;01_BLOOM_0018;01_BLOOM_0011;01_BLOOM_0014,True,,,
aadb0cb9,5,Q03,synthesis,01_BLOOM,5,01_BLOOM_0008;01_BLOOM_0009;01_BLOOM_0010;01_BLOOM_0011;01_BLOOM_0012,01_BLOOM_0008;01_BLOOM_0010;01_BLOOM_0011;01_BLOOM_0012;01_BLOOM_0004,True,,,
aadb0cb9,5,Q04,numerical,02_IEA,4,02_IEA_0013;02_IEA_0014;02_IEA_0015;02_IEA_0016,02_IEA_0077;02_IEA_0014;02_IEA_0086;02_IEA_0095;02_IEA_0049,True,,,
aadb0cb9,5,Q05,factoid,02_IEA,4,02_IEA_0025;02_IEA_0026;02_IEA_0027;02_IEA_0028,02_IEA_0027;02_IEA_0028;02_IEA_0029;02_IEA_0196;02_IEA_0347,True,,,
aadb0cb9,5,Q06,synthesis,02_IEA,6,02_IEA_0014;02_IEA_0015;02_IEA_0016;02_IEA_0017;02_IEA_0018;02_IEA_0019,02_IEA_0315;02_IEA_0134;02_IEA_0016;02_IEA_0136;02_IEA_0314,True,,,
aadb0cb9,5,Q07,factoid,03_Google,6,03_Google_0001;03_Google_0002;03_Google_0003;03_Google_0018;03_Google_0019;03_Google_0020,02_IEA_0486;03_Google_0058;03_Google_0082;03_Google_0195;03_Google_0005,False,,,
aadb0cb9,5,Q08,factoid,03_Google,7,03_Google_0007;03_Google_0008;03_Google_0009;03_Google_0013;03_Google_0014;03_Google_0015;03_Google_0016,03_Google_0003;03_Google_0015;03_Google_0014;03_Google_0021;04_EPRI_0027,True,,,
aadb0cb9,5,Q09,synthesis,03_Google,5,03_Google_0003;03_Google_0004;03_Google_0005;03_Google_0030;03_Google_0031,03_Google_0079;03_Google_0058;03_Google_0107;01_BLOOM_0024;03_Google_0110,False,,,
aadb0cb9,5,Q10,numerical,04_EPRI,4,04_EPRI_0020;04_EPRI_0021;04_EPRI_0022;04_EPRI_0023,04_EPRI_0023;04_EPRI_0022;02_IEA_0076;02_IEA_0031;04_EPRI_0000,True,,,
aadb0cb9,5,Q11,factoid,04_EPRI,3,04_EPRI_0020;04_EPRI_0021;04_EPRI_0022,02_IEA_0318;02_IEA_0075;05_Greenpeace_0007;04_EPRI_0038;02_IEA_0076,False,,,
aadb0cb9,5,Q12,numerical,05_Greenpeace,6,05_Greenpeace_0002;05_Greenpeace_0003;05_Greenpeace_0004;05_Greenpeace_0005;05_Greenpeace_0021;05_Greenpeace_0022,05_Greenpeace_0003;05_Greenpeace_0010;05_Greenpeace_0005;05_Greenpeace_0002;05_Greenpeace_0007,True,,,
aadb0cb9,5,Q13,multi-doc,01_BLOOM+05_Greenpeace,24,01_BLOOM_0004;01_BLOOM_0005;01_BLOOM_0006;01_BLOOM_0007;01_BLOOM_0008;01_BLOOM_0009;01_BLOOM_0010;01_BLOOM_0011;01_BLOOM_0012;05_Greenpeace_0006;05_Greenpeace_0007;05_Greenpeace_0008;05_Greenpeace_0009;05_Greenpeace_0010;05_Greenpeace_0015;05_Greenpeace_0016;05_Greenpeace_0017;05_Greenpeace_0018;05_Greenpeace_0019;05_Greenpeace_0020;05_Greenpeace_0021;05_Greenpeace_0022;05_Greenpeace_0023;05_Greenpeace_0024,05_Greenpeace_0028;02_IEA_0371;03_Google_0089;05_Greenpeace_0009;03_Google_0086,True,False,True,Q13 multi-doc: hit=lenient_hit (§11 E.2). strict_hit requires chunks from both source docs.
b1843394,3,Q01,factoid,01_BLOOM,2,01_BLOOM_0005;01_BLOOM_0006,01_BLOOM_0003;01_BLOOM_0007;01_BLOOM_0009,False,,,
b1843394,3,Q02,factoid,01_BLOOM,3,01_BLOOM_0006;01_BLOOM_0007;01_BLOOM_0008,01_BLOOM_0008;01_BLOOM_0003;01_BLOOM_0009,True,,,
b1843394,3,Q03,synthesis,01_BLOOM,3,01_BLOOM_0004;01_BLOOM_0005;01_BLOOM_0006,01_BLOOM_0006;01_BLOOM_0004;01_BLOOM_0005,True,,,
b1843394,3,Q04,numerical,02_IEA,2,02_IEA_0007;02_IEA_0008,02_IEA_0043;02_IEA_0008;02_IEA_0039,True,,,
b1843394,3,Q05,factoid,02_IEA,2,02_IEA_0013;02_IEA_0014,02_IEA_0014;02_IEA_0015;02_IEA_0017,True,,,
b1843394,3,Q06,synthesis,02_IEA,4,02_IEA_0007;02_IEA_0008;02_IEA_0009;02_IEA_0010,02_IEA_0155;02_IEA_0075;04_EPRI_0004,False,,,
b1843394,3,Q07,factoid,03_Google,4,03_Google_0000;03_Google_0001;03_Google_0009;03_Google_0010,03_Google_0042;03_Google_0098;03_Google_0001,True,,,
b1843394,3,Q08,factoid,03_Google,5,03_Google_0003;03_Google_0004;03_Google_0005;03_Google_0007;03_Google_0008,03_Google_0008;03_Google_0011;03_Google_0098,True,,,
b1843394,3,Q09,synthesis,03_Google,4,03_Google_0001;03_Google_0002;03_Google_0015;03_Google_0016,03_Google_0055;01_BLOOM_0012;03_Google_0002,True,,,
b1843394,3,Q10,numerical,04_EPRI,2,04_EPRI_0010;04_EPRI_0011,04_EPRI_0011;04_EPRI_0026;04_EPRI_0000,True,,,
b1843394,3,Q11,factoid,04_EPRI,2,04_EPRI_0010;04_EPRI_0011,02_IEA_0038;02_IEA_0156;04_EPRI_0019,False,,,
